User Name,akjsbfh
User Email,kajfskj@gmail.com
Date,2025-09-09T18:02:39.302Z

Question Id,Answer
q1,React
q2,MongoDB
q3,Node.js
q4,C++
q5,Independently
q6,Plan & Deliver
q7,Very
q8,Startup
q9,Remote
q10,Fast

Skills Selected,React; C; MongoDB; Node.js; C++
Matched Job Count,5

Matched Jobs (id,title,company,requiredSkills)
68bf221c2e68765224e0c691,software developer,,javascript|react|mongoldb
68bf38954afebd21c3a349ec,software,,react|nodes|mongodb
68bf3cc7168ac728e52e41cd,majbfskj,,React|Node.js|Mongodb
68c0657d30dcb9a68986f0e6,software engineer,,React|Node.js
68c0661e30dcb9a68986f1b5,ece,,React|Node.js
